;class_name;project_name;project_version;class_id;class_path;reliability_remediation_effort;bugs;reliability_rating;vulnerabilities;security_remediation_effort;security_rating;effort_to_reach_maintainability_rating_a;sqale_rating;development_cost;sqale_debt_ratio;code_smells;sqale_index;test_success_density;test_failures;test_errors;skipped_tests;duplicated_lines_density;duplicated_blocks;duplicated_lines;duplicated_files;comment_lines;lines;ncloc;functions;comment_lines_density;generated_lines;complexity;file_complexity;cognitive_complexity;blocker_violations;reopened_issues;info_violations;minor_violations;wont_fix_issues;confirmed_issues;false_positive_issues;violations;open_issues;major_violations;critical_violations;public_documented_api_density;commented_out_code_lines;public_undocumented_api;statements;complexity_in_functions;complexity_in_classes;total_principal
14;__init__.py;exa2pro:metalwalls-class-level;f278b26be7c8dffd81f2f567b72e7bd394ce0ef7;AXRtDMgKgYlQeIMZvJ9k;scripts/mw_utils/tests/__init__.py;0;0;1.0;0;0;1.0;0;1.0;0;0.0;0;0;100.0;0;0;0;0.0;0;0;0;0;1;0;0;;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;100.0;0;0;0.0;;;0
15;__init__.py;exa2pro:metalwalls-class-level;f278b26be7c8dffd81f2f567b72e7bd394ce0ef7;AXRtDMgKgYlQeIMZvJ9k;scripts/mw_utils/tests/__init__.py;0;0;1.0;0;0;1.0;0;1.0;0;0.0;0;0;100.0;0;0;0;0.0;0;0;0;0;1;0;0;;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;100.0;0;0;0.0;;;0
16;__init__.py;exa2pro:metalwalls-class-level;bba59702bb8161e71be4d5f7c4e10f28b3c9a706;AXRtDMgKgYlQeIMZvJ9k;scripts/mw_utils/tests/__init__.py;0;0;1.0;0;0;1.0;0;1.0;0;0.0;0;0;100.0;0;0;0;0.0;0;0;0;0;1;0;0;;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;100.0;0;0;0.0;;;0
17;__init__.py;exa2pro:metalwalls-class-level;5f87afde5f7ace4bfb6531f3db393eb544e973bb;AXRtDMgKgYlQeIMZvJ9k;scripts/mw_utils/tests/__init__.py;0;0;1.0;0;0;1.0;0;1.0;0;0.0;0;0;100.0;0;0;0;0.0;0;0;0;0;1;0;0;;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;100.0;0;0;0.0;;;0
18;__init__.py;exa2pro:metalwalls-class-level;5f87afde5f7ace4bfb6531f3db393eb544e973bb;AXRtDMgKgYlQeIMZvJ9k;scripts/mw_utils/tests/__init__.py;0;0;1.0;0;0;1.0;0;1.0;0;0.0;0;0;100.0;0;0;0;0.0;0;0;0;0;1;0;0;;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;100.0;0;0;0.0;;;0
19;__init__.py;exa2pro:metalwalls-class-level;5f87afde5f7ace4bfb6531f3db393eb544e973bb;AXRtDMgKgYlQeIMZvJ9k;scripts/mw_utils/tests/__init__.py;0;0;1.0;0;0;1.0;0;1.0;0;0.0;0;0;100.0;0;0;0;0.0;0;0;0;0;1;0;0;;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;100.0;0;0;0.0;;;0
20;__init__.py;exa2pro:metalwalls-class-level;6b6757f75d6241646db3777d219d4176f182a635;AXRtDMgKgYlQeIMZvJ9k;scripts/mw_utils/tests/__init__.py;0;0;1.0;0;0;1.0;0;1.0;0;0.0;0;0;100.0;0;0;0;0.0;0;0;0;0;1;0;0;;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;100.0;0;0;0.0;;;0
21;__init__.py;exa2pro:metalwalls-class-level;1e02a5f7b448141e9eff162cb7e71bb8b547117e;AXRtDMgKgYlQeIMZvJ9k;scripts/mw_utils/tests/__init__.py;0;0;1.0;0;0;1.0;0;1.0;0;0.0;0;0;100.0;0;0;0;0.0;0;0;0;0;1;0;0;;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;100.0;0;0;0.0;;;0
22;__init__.py;exa2pro:metalwalls-class-level;f89cb8bf5fe319281697adf0b24401376c3d98e9;AXRtDMgKgYlQeIMZvJ9k;scripts/mw_utils/tests/__init__.py;0;0;1.0;0;0;1.0;0;1.0;0;0.0;0;0;100.0;0;0;0;0.0;0;0;0;0;1;0;0;;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;100.0;0;0;0.0;;;0
23;__init__.py;exa2pro:metalwalls-class-level;f60324a73dec9e03fdf24404238e7f8b008e98f6;AXRtDMgKgYlQeIMZvJ9k;scripts/mw_utils/tests/__init__.py;0;0;1.0;0;0;1.0;0;1.0;0;0.0;0;0;100.0;0;0;0;0.0;0;0;0;0;1;0;0;;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;100.0;0;0;0.0;;;0
